params_activation,params_hidden_layer_sizes,params_alpha,params_learning_rate_init,f1_score,auc
logistic,100,0.0002463768595899747,0.00582938454299474,0.5276073619631901,0.857163120567376
relu,150,9.137584291540539e-05,0.0011527427137406289,0.5205479452054794,0.8673404255319148
relu,100,7.495849797769742e-05,0.0013193235189875956,0.5194805194805194,0.8644680851063831
logistic,150,0.007553503645583214,0.007331902614364254,0.5180722891566265,0.8604609929078014
logistic,150,0.009438274836672294,0.0015281527473799622,0.5153374233128835,0.8674113475177305
logistic,100,0.00023520442194336112,0.0007272398881704018,0.5063291139240507,0.8496808510638297
tanh,50,1.7073967431528114e-06,0.003967605077052989,0.5063291139240507,0.8603191489361702
relu,150,5.5170150164898015e-05,0.0005053051035589097,0.5032258064516129,0.8469858156028368
logistic,150,0.008440495298802309,0.008640185749627341,0.4942528735632184,0.8579787234042553
relu,150,8.886087936734107e-05,0.0012406981852325356,0.4931506849315068,0.8569858156028368
relu,100,0.0002963897280889804,0.002953301471894414,0.49295774647887325,0.8511347517730496
tanh,100,1.4742753159914662e-05,0.00012562773503807024,0.48520710059171596,0.8504964539007093
relu,150,0.0012408860372329147,0.00327624683809746,0.48322147651006714,0.8580496453900709
tanh,100,0.0020651425578959264,0.00011756010900231849,0.47953216374269003,0.8498581560283688
tanh,100,0.000269264691008618,3.247673570627447e-05,0.41935483870967744,0.7797517730496454
tanh,50,1.7654048052495086e-05,0.00036324869566766035,0.4155844155844156,0.7425177304964539
tanh,150,0.001227380098785297,3.9459088110999965e-05,0.3793103448275862,0.7554255319148937
tanh,100,2.7155819552829413e-05,2.2264204303769678e-05,0.34579439252336447,0.6601063829787234
logistic,50,0.0005456725485601478,0.00020914981329035596,0.31,0.6835106382978724
tanh,50,5.337032762603957e-06,3.5498788321965036e-05,0.23841059602649006,0.5044326241134752
