param_n_neighbors,param_weights,param_metric,mean_test_F1,mean_test_AUC
4,distance,manhattan,0.7137750880973609,0.7967832697562427
3,uniform,manhattan,0.6988006003009519,0.7784406027649271
24,distance,euclidean,0.6893257822794343,0.7983118253388524
7,distance,manhattan,0.6828919916546301,0.8118388658929199
28,distance,manhattan,0.6804148076121215,0.8545031518004492
21,uniform,manhattan,0.6784854921667108,0.8476584692800909
1,distance,manhattan,0.6722233489877705,0.6861861861861862
17,uniform,manhattan,0.6713574612325512,0.8444119795471147
19,uniform,euclidean,0.6600075801646482,0.788410031653275
6,distance,euclidean,0.6475169997939418,0.7559180802424046
10,distance,chebyshev,0.6374446320175574,0.7160944728512296
7,uniform,chebyshev,0.6329543672406821,0.7078970862754647
22,uniform,euclidean,0.6312370576674889,0.7910613316018722
11,distance,chebyshev,0.6293837590794714,0.7221004788572357
11,distance,chebyshev,0.6293837590794714,0.7221004788572357
20,distance,chebyshev,0.6090206662962081,0.7152557963368774
30,distance,chebyshev,0.6064189182583546,0.7018910802694586
30,uniform,chebyshev,0.5826560802533343,0.6910965019073126
22,uniform,chebyshev,0.5761609907120743,0.7053269485701917
20,uniform,chebyshev,0.5721540068245582,0.7051916781646511
