params_activation,params_hidden_layer_sizes,params_alpha,params_learning_rate_init,f1_score,auc
tanh,50,1.7073967431528114e-06,0.003967605077052989,0.8059701492537313,0.9072769953051643
relu,150,1.0719864040714912e-06,0.00728392497590335,0.8029197080291971,0.8926056338028168
relu,150,1.1456416145163846e-06,0.008636241973616161,0.7971014492753623,0.8918231611893583
logistic,100,0.0002463768595899747,0.00582938454299474,0.7883211678832117,0.8912363067292645
relu,50,2.6713621990282898e-06,0.0037378289615174346,0.7703703703703704,0.8886932707355243
logistic,50,6.7759017179621e-05,0.005781136748463717,0.7591240875912408,0.8601330203442878
logistic,50,9.132397856274198e-06,0.009728613904848141,0.7536231884057971,0.8730438184663538
relu,150,1.0810460571374019e-06,0.0020009875383021456,0.7480916030534351,0.8683489827856026
relu,50,4.371389617792201e-06,0.0019509879898403578,0.7299270072992701,0.8323552425665102
tanh,50,1.7654048052495086e-05,0.00036324869566766035,0.7142857142857143,0.8079029733959311
relu,150,6.835199612976984e-05,0.0008590551698794441,0.6976744186046512,0.8219874804381847
relu,150,0.007356475421076248,0.0009079116747274302,0.6976744186046512,0.8194444444444444
relu,150,3.68343687730691e-06,0.0017149444543910642,0.6875,0.8245305164319249
tanh,50,5.337032762603957e-06,3.5498788321965036e-05,0.6753246753246753,0.6807511737089202
logistic,50,0.0005456725485601478,0.00020914981329035596,0.6697674418604651,0.7087245696400626
tanh,100,1.4742753159914662e-05,0.00012562773503807024,0.6521739130434783,0.7190923317683882
tanh,100,0.0020651425578959264,0.00011756010900231849,0.6521739130434783,0.7192879499217527
tanh,150,0.001227380098785297,3.9459088110999965e-05,0.5079365079365079,0.6343896713615024
tanh,100,0.000269264691008618,3.247673570627447e-05,0.49056603773584906,0.39377934272300474
tanh,100,2.7155819552829413e-05,2.2264204303769678e-05,0.4779874213836478,0.36913145539906106
